Index	Time (s)	Voltage (V)
451	-3.056000000e+00	-2.621440000e+02
452	-3.055680000e+00	-2.621440000e+02
453	-3.055360000e+00	-2.621440000e+02
454	-3.055040000e+00	-2.621440000e+02
455	-3.054720000e+00	-2.621440000e+02
456	-3.054400000e+00	-2.621440000e+02
457	-3.054080000e+00	-2.621440000e+02
458	-3.053760000e+00	-2.621440000e+02
459	-3.053440000e+00	-2.621440000e+02
460	-3.053120000e+00	-2.621440000e+02
461	-3.052800000e+00	-2.621440000e+02
462	-3.052480000e+00	-2.621440000e+02
463	-3.052160000e+00	-2.621440000e+02
464	-3.051840000e+00	-2.621440000e+02
465	-3.051520000e+00	-2.621440000e+02
466	-3.051200000e+00	-2.621440000e+02
467	-3.050880000e+00	-2.621440000e+02
468	-3.050560000e+00	-2.621440000e+02
469	-3.050240000e+00	-2.621440000e+02
470	-3.049920000e+00	-2.621440000e+02
471	-3.049600000e+00	-2.621440000e+02
472	-3.049280000e+00	-2.621440000e+02
473	-3.048960000e+00	-2.621440000e+02
474	-3.048640000e+00	-2.621440000e+02
475	-3.048320000e+00	-2.621440000e+02
476	-3.048000000e+00	-2.621440000e+02
477	-3.047680000e+00	-2.621440000e+02
478	-3.047360000e+00	-2.621440000e+02
479	-3.047040000e+00	-2.621440000e+02
480	-3.046720000e+00	-2.621440000e+02
481	-3.046400000e+00	-2.621440000e+02
482	-3.046080000e+00	-2.621440000e+02
483	-3.045760000e+00	-2.621440000e+02
484	-3.045440000e+00	-2.621440000e+02
485	-3.045120000e+00	-2.621440000e+02
486	-3.044800000e+00	-2.621440000e+02
487	-3.044480000e+00	-2.621440000e+02
488	-3.044160000e+00	-2.621440000e+02
489	-3.043840000e+00	-2.621440000e+02
490	-3.043520000e+00	-2.621440000e+02
491	-3.043200000e+00	-2.621440000e+02
492	-3.042880000e+00	-2.621440000e+02
493	-3.042560000e+00	-2.621440000e+02
494	-3.042240000e+00	-2.621440000e+02
495	-3.041920000e+00	-2.621440000e+02
496	-3.041600000e+00	-2.621440000e+02
497	-3.041280000e+00	-2.621440000e+02
498	-3.040960000e+00	-2.621440000e+02
499	-3.040640000e+00	-2.621440000e+02
500	-3.040320000e+00	-2.621440000e+02
501	-3.040000000e+00	-2.621440000e+02
502	-3.039680000e+00	-2.621440000e+02
503	-3.039360000e+00	-2.621440000e+02
504	-3.039040000e+00	-2.621440000e+02
505	-3.038720000e+00	-2.621440000e+02
506	-3.038400000e+00	-2.621440000e+02
507	-3.038080000e+00	-2.621440000e+02
508	-3.037760000e+00	-2.621440000e+02
509	-3.037440000e+00	-2.621440000e+02
510	-3.037120000e+00	-2.621440000e+02
511	-3.036800000e+00	-2.621440000e+02
512	-3.036480000e+00	-2.621440000e+02
513	-3.036160000e+00	-2.621440000e+02
514	-3.035840000e+00	-2.621440000e+02
515	-3.035520000e+00	-2.621440000e+02
516	-3.035200000e+00	-2.621440000e+02
517	-3.034880000e+00	-2.621440000e+02
518	-3.034560000e+00	-2.621440000e+02
519	-3.034240000e+00	-2.621440000e+02
520	-3.033920000e+00	-2.621440000e+02
521	-3.033600000e+00	-2.621440000e+02
522	-3.033280000e+00	-2.621440000e+02
523	-3.032960000e+00	-2.621440000e+02
524	-3.032640000e+00	-2.621440000e+02
525	-3.032320000e+00	-2.621440000e+02
526	-3.032000000e+00	-2.621440000e+02
527	-3.031680000e+00	-2.621440000e+02
528	-3.031360000e+00	-2.621440000e+02
529	-3.031040000e+00	-2.621440000e+02
530	-3.030720000e+00	-2.621440000e+02
531	-3.030400000e+00	-2.621440000e+02
532	-3.030080000e+00	-2.621440000e+02
533	-3.029760000e+00	-2.621440000e+02
534	-3.029440000e+00	-2.621440000e+02
535	-3.029120000e+00	-2.621440000e+02
536	-3.028800000e+00	-2.621440000e+02
537	-3.028480000e+00	-2.621440000e+02
538	-3.028160000e+00	-2.621440000e+02
539	-3.027840000e+00	-2.621440000e+02
540	-3.027520000e+00	-2.621440000e+02
541	-3.027200000e+00	-2.621440000e+02
542	-3.026880000e+00	-2.621440000e+02
543	-3.026560000e+00	-2.621440000e+02
544	-3.026240000e+00	-2.621440000e+02
545	-3.025920000e+00	-2.621440000e+02
546	-3.025600000e+00	-2.621440000e+02
547	-3.025280000e+00	-2.621440000e+02
548	-3.024960000e+00	-2.621440000e+02
549	-3.024640000e+00	-2.621440000e+02
550	-3.024320000e+00	-2.621440000e+02
551	-3.024000000e+00	-2.621440000e+02
552	-3.023680000e+00	-2.621440000e+02
553	-3.023360000e+00	-2.621440000e+02
554	-3.023040000e+00	-2.621440000e+02
555	-3.022720000e+00	-2.621440000e+02
556	-3.022400000e+00	-2.621440000e+02
557	-3.022080000e+00	-2.621440000e+02
558	-3.021760000e+00	-2.621440000e+02
559	-3.021440000e+00	-2.621440000e+02
560	-3.021120000e+00	-2.621440000e+02
561	-3.020800000e+00	-2.621440000e+02
562	-3.020480000e+00	-2.621440000e+02
563	-3.020160000e+00	-2.621440000e+02
564	-3.019840000e+00	-2.621440000e+02
565	-3.019520000e+00	-2.621440000e+02
566	-3.019200000e+00	-2.621440000e+02
567	-3.018880000e+00	-2.621440000e+02
568	-3.018560000e+00	-2.621440000e+02
569	-3.018240000e+00	-2.621440000e+02
570	-3.017920000e+00	-2.621440000e+02
571	-3.017600000e+00	-2.621440000e+02
572	-3.017280000e+00	-2.621440000e+02
573	-3.016960000e+00	-2.621440000e+02
574	-3.016640000e+00	-2.621440000e+02
575	-3.016320000e+00	-2.621440000e+02
576	-3.016000000e+00	-2.621440000e+02
577	-3.015680000e+00	-2.621440000e+02
578	-3.015360000e+00	-2.621440000e+02
579	-3.015040000e+00	-2.621440000e+02
580	-3.014720000e+00	-2.621440000e+02
581	-3.014400000e+00	-2.621440000e+02
582	-3.014080000e+00	-2.621440000e+02
583	-3.013760000e+00	-2.621440000e+02
584	-3.013440000e+00	-2.621440000e+02
585	-3.013120000e+00	-2.621440000e+02
586	-3.012800000e+00	-2.621440000e+02
587	-3.012480000e+00	-2.621440000e+02
588	-3.012160000e+00	-2.621440000e+02
589	-3.011840000e+00	-2.621440000e+02
590	-3.011520000e+00	-2.621440000e+02
591	-3.011200000e+00	-2.621440000e+02
592	-3.010880000e+00	-2.621440000e+02
593	-3.010560000e+00	-2.621440000e+02
594	-3.010240000e+00	-2.621440000e+02
595	-3.009920000e+00	-2.621440000e+02
596	-3.009600000e+00	-2.621440000e+02
597	-3.009280000e+00	-2.621440000e+02
598	-3.008960000e+00	-2.621440000e+02
599	-3.008640000e+00	-2.621440000e+02
600	-3.008320000e+00	-2.621440000e+02
601	-3.008000000e+00	-2.621440000e+02
602	-3.007680000e+00	-2.621440000e+02
603	-3.007360000e+00	-2.621440000e+02
604	-3.007040000e+00	-2.621440000e+02
605	-3.006720000e+00	-2.621440000e+02
606	-3.006400000e+00	-2.621440000e+02
607	-3.006080000e+00	-2.621440000e+02
608	-3.005760000e+00	-2.621440000e+02
609	-3.005440000e+00	-2.621440000e+02
610	-3.005120000e+00	-2.621440000e+02
611	-3.004800000e+00	-2.621440000e+02
612	-3.004480000e+00	-2.621440000e+02
613	-3.004160000e+00	-2.621440000e+02
614	-3.003840000e+00	-2.621440000e+02
615	-3.003520000e+00	-2.621440000e+02
616	-3.003200000e+00	-2.621440000e+02
617	-3.002880000e+00	-2.621440000e+02
618	-3.002560000e+00	-2.621440000e+02
619	-3.002240000e+00	-2.621440000e+02
620	-3.001920000e+00	-2.621440000e+02
621	-3.001600000e+00	-2.621440000e+02
622	-3.001280000e+00	-2.621440000e+02
623	-3.000960000e+00	-2.621440000e+02
624	-3.000640000e+00	-2.621440000e+02
625	-3.000320000e+00	-2.621440000e+02
626	-3.000000000e+00	-2.621440000e+02
627	-2.999680000e+00	-2.621440000e+02
628	-2.999360000e+00	-2.621440000e+02
629	-2.999040000e+00	-2.621440000e+02
630	-2.998720000e+00	-2.621440000e+02
631	-2.998400000e+00	-2.621440000e+02
632	-2.998080000e+00	-2.621440000e+02
